"REF_DATE","GEO","DGUID","Projection scenario","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383208","1.2.2.20","1187.1","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383208","1.2.2.20","1196.8","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383208","1.2.2.20","1203.4","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383208","1.2.2.20","1207.4","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383208","1.2.2.20","1215.5","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383208","1.2.2.20","1219.6","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","15 to 19 years","Persons","249","thousands","3","v52383208","1.2.2.20","1226.1","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383214","1.2.2.26","1416.4","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383214","1.2.2.26","1376.2","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383214","1.2.2.26","1355.7","","","","1"
"2027","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383214","1.2.2.26","1343.6","","","","1"
"2028","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383214","1.2.2.26","1364.1","","","","1"
"2029","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383214","1.2.2.26","1382.9","","","","1"
"2030","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","20 to 24 years","Persons","249","thousands","3","v52383214","1.2.2.26","1401.1","","","","1"
"2024","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383221","1.2.2.32","1549.0","","","","1"
"2025","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383221","1.2.2.32","1494.7","","","","1"
"2026","Canada","2016A000011124","Projection scenario LG: low-growth","Men+","25 to 29 years","Persons","249","thousands","3","v52383221","1.2.2.32","1436.0","","","","1"
